ETA,SIGMA,N,mse,esp_neuronal
0.125,1.0,1000,0.012896255699474446,32.26290549027917
0.125,1.0,2000,0.011641378755065135,31.47271967304612
0.125,1.0,3000,0.011276883196241917,31.478735034729464
0.125,1.0,4000,0.011384345532586502,31.458535599697264
0.125,1.0,5000,0.011892867592391113,31.06946619521459
0.125,1.0,6000,0.011472615153262408,31.378803331919624
0.125,1.0,7000,0.011753232448646237,31.27187823395338
0.125,1.0,8000,0.011660102801589462,31.334196349460804
0.125,1.0,9000,0.011414368564557176,31.46440209274963
0.125,1.0,10000,0.011657406838311873,31.29033237398267
0.125,1.0,11000,0.011955235999070526,31.324093377422997
0.125,1.0,12000,0.011627445824129777,31.402230905236017
0.125,1.0,13000,0.011660217806897199,31.354818202913368
0.125,1.0,14000,0.011689343773861164,31.33638586148316
0.125,1.0,15000,0.011431611580747935,31.597796619253593
0.125,1.0,16000,0.011724474461040857,31.233464063593352
0.125,1.0,17000,0.011850306444806686,31.305908572570225
0.125,1.0,18000,0.011748331575091503,31.268004535522998
0.125,1.0,19000,0.011079488125542828,31.623546569830488
0.125,1.0,20000,0.0115591558837719,31.2815352440379
0.125,1.0,21000,0.01195210872400193,31.175665855777897
0.125,1.0,22000,0.011648672154044406,31.32952655049065
0.125,1.0,23000,0.011666249580265728,31.24334078836356
0.125,1.0,24000,0.011815139024364929,31.260774035214915
0.125,1.0,25000,0.011974820319594565,31.213613822276187
0.125,1.0,26000,0.011453469646972594,31.298245304766418
0.125,1.0,27000,0.011902275737555543,31.16984488685467
0.125,1.0,28000,0.011447863339601103,31.398591664411413
0.125,1.0,29000,0.01141981999093955,31.36907922355715
0.125,1.0,30000,0.011063464706517418,31.650363002113618
0.125,1.0,31000,0.011559185544472345,31.39265613575206
0.125,1.0,32000,0.011503036603585443,31.30337745807621
0.125,1.0,33000,0.011727915581710257,31.349987066606644
0.125,1.0,34000,0.011666851076791407,31.379558550696466
0.125,1.0,35000,0.011678355214189256,31.18649869700122
0.125,1.0,36000,0.011809658490591683,31.31939005186093
0.125,1.0,37000,0.011424846811500588,31.27477219180159
0.125,1.0,38000,0.011489274247194006,31.374973517313027
0.125,1.0,39000,0.011333806572689656,31.584258360997403
0.125,1.0,40000,0.01164939137596686,31.247748323251848
0.125,1.0,41000,0.011552360451153132,31.379371548754243
0.125,1.0,42000,0.0114901539101188,31.393370461122466
0.125,1.0,43000,0.011662876904693382,31.348826160042442
0.125,1.0,44000,0.011584836899066555,31.522572317556637
0.125,1.0,45000,0.011619002420121,31.438959107671785
0.125,1.0,46000,0.011635921395897472,31.251660600978845
0.125,1.0,47000,0.011731766430312318,31.255047480718638
0.125,1.0,48000,0.011681858478506304,31.391307144956404
0.125,1.0,49000,0.011412670117772538,31.416610077142842
0.125,2.0,1000,0.03789864596982287,25.37878432725213
0.125,2.0,2000,0.03968941833291857,25.033495731903756
0.125,2.0,3000,0.03725693847389484,25.52607423758517
0.125,2.0,4000,0.0370091814171636,25.502841411418107
0.125,2.0,5000,0.03785232616471945,25.475528396743307
0.125,2.0,6000,0.03839361167215727,25.31884706044714
0.125,2.0,7000,0.03656678328183248,25.70173559007018
0.125,2.0,8000,0.035647041889144644,25.762577318761384
0.125,2.0,9000,0.03679726817191324,25.329845470844727
0.125,2.0,10000,0.03850897887266517,25.071728325616778
0.125,2.0,11000,0.04219862301238524,24.565917135022588
0.125,2.0,12000,0.03728810027526084,25.544150415755986
0.125,2.0,13000,0.03706568629525579,25.47865021724715
0.125,2.0,14000,0.03940182719991304,25.259754740949916
0.125,2.0,15000,0.039757821121127836,24.97292749183397
0.125,2.0,16000,0.03750823356869472,25.181248858021114
0.125,2.0,17000,0.037593676850440474,25.53084763685127
0.125,2.0,18000,0.039441884601310914,25.0983388905741
0.125,2.0,19000,0.040305033631323775,24.994639803232833
0.125,2.0,20000,0.03674756819016405,25.569680792376097
0.125,2.0,21000,0.03866584563591233,25.263575718853463
0.125,2.0,22000,0.03701424971057328,25.60699608002679
0.125,2.0,23000,0.039477293982848924,25.018267985206336
0.125,2.0,24000,0.03674782495618333,25.54100795360128
0.125,2.0,25000,0.0370839523489009,25.46269328073104
0.125,2.0,26000,0.03891842265279126,25.249674778280838
0.125,2.0,27000,0.040229247818646285,25.098277118588694
0.125,2.0,28000,0.03845113570039295,25.399458332894625
0.125,2.0,29000,0.03800273775398059,25.300714766530973
0.125,2.0,30000,0.03894324301472528,25.06323402210756
0.125,2.0,31000,0.03938534474166976,25.338804544044592
0.125,2.0,32000,0.040497045052531565,24.767747696130975
0.125,2.0,33000,0.036578932364833776,25.4997643856239
0.125,2.0,34000,0.04125968344121867,24.692514815536036
0.125,2.0,35000,0.037459383320371145,25.43661413004665
0.125,2.0,36000,0.03815794305753008,25.251699676327256
0.125,2.0,37000,0.03767201898319029,25.378729847196393
0.125,2.0,38000,0.03710388768115066,25.495143827514788
0.125,2.0,39000,0.03956978222297416,24.976628160045273
