ETA,SIGMA,N,mse,esp_neuronal
0.125,1.0,1000,0.01851788481629327,36.864881906792434
0.125,1.0,2000,0.012787419793791718,31.890485820938224
0.125,1.0,3000,0.012058876836703116,31.835922766404707
0.125,1.0,4000,0.012014615251090703,32.24864234368213
0.125,1.0,5000,0.013112452620989283,31.52167450260427
0.125,1.0,6000,0.013121281931727168,32.16692916332119
0.125,1.0,7000,0.012342320145670101,31.70216624170097
0.125,1.0,8000,0.01420738110377392,31.76866479476238
0.125,1.0,9000,0.012407942894408847,32.17071928638875
0.125,1.0,10000,0.013309496365215607,32.01111279656852
0.125,1.0,11000,0.01315609110010013,31.874075521756524
0.125,1.0,12000,0.01287489262426461,31.870542356008503
0.125,1.0,13000,0.012901487594594025,32.00094342534622
0.125,1.0,14000,0.012298011792877088,31.794082875810556
0.125,1.0,15000,0.012603356041978686,32.29880511879785
0.125,1.0,16000,0.01260151240353228,32.062046202134724
0.125,1.0,17000,0.013481208519812432,31.906102941864432
0.125,1.0,18000,0.012603201376516484,31.669272021585815
0.125,1.0,19000,0.012060645542950008,32.53149553016685
0.125,1.0,20000,0.012721745114099556,32.02476190588832
0.125,1.0,21000,0.012940381575523165,31.63461264137834
0.125,1.0,22000,0.012712953471009932,31.72585775933056
0.125,1.0,23000,0.012477911479640509,31.611839236930187
0.125,1.0,24000,0.01291424890109358,31.996939763303935
0.125,1.0,25000,0.014554976853975225,31.710410975672954
0.125,1.0,26000,0.012485310251893008,31.780173710057053
0.125,1.0,27000,0.013403377732006267,31.741944778736904
0.125,1.0,28000,0.012333427225949645,31.7351997360201
0.125,1.0,29000,0.01247076251542129,32.261848241840326
0.125,1.0,30000,0.01216627803618084,32.48232337486239
0.125,1.0,31000,0.012587991464033164,32.120172736770314
0.125,1.0,32000,0.013012315871245496,32.06127260973995
0.125,1.0,33000,0.012653815232475267,31.87798442680521
0.125,1.0,34000,0.012655746197263663,31.87908977496564
0.125,1.0,35000,0.012571979315731027,31.693208258051648
0.125,1.0,36000,0.01267173392750172,31.77381593943566
0.125,1.0,37000,0.012431223412987243,32.447331570620605
0.125,1.0,38000,0.012074510931057178,31.883157181202257
0.125,1.0,39000,0.013544265208781322,32.17856353400285
0.125,1.0,40000,0.012966415156230733,31.845296717861785
0.125,1.0,41000,0.012586182566449526,32.10111529896663
0.125,1.0,42000,0.012119367870814735,31.88079209396853
0.125,1.0,43000,0.012853424901876898,32.020856427659574
0.125,1.0,44000,0.01269231448650158,31.993324638382262
0.125,1.0,45000,0.012679502830664912,31.955621195281683
0.125,1.0,46000,0.012447918931712293,32.159098550789274
0.125,1.0,47000,0.01252073120398191,31.940699702586667
0.125,1.0,48000,0.013200350764861259,31.825805571514906
0.125,1.0,49000,0.012960902867412616,32.11396481921064
0.125,2.0,1000,0.04855212022666267,26.507975667307353
0.125,2.0,2000,0.04848494309930981,26.61908655032278
0.125,2.0,3000,0.04698994020578082,26.548934824563624
0.125,2.0,4000,0.04371505430525024,27.11182360326689
0.125,2.0,5000,0.042252825853153805,26.493909138021856
0.125,2.0,6000,0.04762079978331962,26.101822934292485
0.125,2.0,7000,0.04055206105398625,26.736806780651285
0.125,2.0,8000,0.04726167245522366,26.984337364019435
0.125,2.0,9000,0.0442596235874743,26.676007385016895
0.125,2.0,10000,0.04275155465665756,26.39309304063394
0.125,2.0,11000,0.0481942634548391,25.55986606585712
