ETA,SIGMA,N,mse,esp_neuronal
0.125,1.0,1000,0.011127196708722755,30.5560310997939
0.125,1.0,2000,0.010717515154810339,31.057095097717326
0.125,1.0,3000,0.010719980660507134,30.78612689352548
0.125,1.0,4000,0.0105317659942237,31.069181213812318
0.125,1.0,5000,0.010899335872894874,30.39062287032956
0.125,1.0,6000,0.010136484737452689,30.433468597820827
0.125,1.0,7000,0.010472530909359458,30.913514270933028
0.125,1.0,8000,0.011010938324201443,30.009465773786417
0.125,1.0,9000,0.010385401834838262,30.82079331703143
0.125,1.0,10000,0.0102506704000878,30.779997098309735
0.125,1.0,11000,0.010649209563314532,30.720412174555722
0.125,1.0,12000,0.010786486943431582,30.651729927937776
0.125,1.0,13000,0.010313601655275671,30.825881925938617
0.125,1.0,14000,0.011000534752697591,30.851304292274406
0.125,1.0,15000,0.01021336701854582,31.27400559565099
0.125,1.0,16000,0.010524360194962444,30.648604073800488
0.125,1.0,17000,0.010983175158959448,30.82974472654968
0.125,1.0,18000,0.010359538363141968,30.680325421588087
0.125,1.0,19000,0.010137804523691963,31.229274131772392
0.125,1.0,20000,0.010609715843605438,30.655089682570384
0.125,1.0,21000,0.010949316662331954,30.39403400757406
0.125,1.0,22000,0.010953425706089518,30.975834247008176
0.125,1.0,23000,0.010801460300432176,30.696897774992763
0.125,1.0,24000,0.010716301731704143,30.538193100569597
0.125,1.0,25000,0.010517481277536142,30.199004084500526
0.125,1.0,26000,0.010331374452633794,30.72594790979497
0.125,1.0,27000,0.010946511724220537,30.568058306730144
0.125,1.0,28000,0.011021754795639941,30.736221772040995
0.125,1.0,29000,0.010396933577657873,30.795055549288417
0.125,1.0,30000,0.010355471747446866,31.155621822178148
0.125,1.0,31000,0.0108223690263852,30.74270660694167
0.125,1.0,32000,0.010577085029026857,30.676327477257544
0.125,1.0,33000,0.01092984389949447,30.939332004593936
0.125,1.0,34000,0.010707189099992388,30.930283266675527
0.125,1.0,35000,0.01046031886244992,30.634780366084268
0.125,1.0,36000,0.010903562581145226,30.706703411931382
0.125,1.0,37000,0.009918786932752405,30.73061508397177
0.125,1.0,38000,0.010549336536991496,30.902975839058264
0.125,1.0,39000,0.010474511447499066,30.718310848334692
0.125,1.0,40000,0.010488464608414324,30.479570606885247
0.125,1.0,41000,0.010751411172569175,30.58048938845409
0.125,1.0,42000,0.010568986105793184,30.866666893270438
0.125,1.0,43000,0.010566863439500283,30.49476323563423
0.125,1.0,44000,0.010477382987689202,30.672701533580362
0.125,1.0,45000,0.010706850235903577,30.841376753914442
0.125,1.0,46000,0.010201874635806907,30.522054484269958
0.125,1.0,47000,0.010544532093612941,30.799067956957668
0.125,1.0,48000,0.01090113575150313,30.987302743905495
0.125,1.0,49000,0.00973877393283898,30.762398161588333
0.125,2.0,1000,0.030634817484771676,24.4060096465843
0.125,2.0,2000,0.031201978248320553,23.919167553846652
0.125,2.0,3000,0.03141974394028249,24.648853426921054
0.125,2.0,4000,0.028206584534561586,24.672450184644543
0.125,2.0,5000,0.03248953135477939,24.625988136927155
0.125,2.0,6000,0.03333752172482876,23.489212904284635
0.125,2.0,7000,0.028186179488825555,24.894096574225582
0.125,2.0,8000,0.02720269432673966,23.765599758942308
0.125,2.0,9000,0.03099986848307518,24.033043659442665
0.125,2.0,10000,0.03119579602991088,24.049107784173255
0.125,2.0,11000,0.0352361344884583,23.556669442447145
0.125,2.0,12000,0.03203443707143379,24.310831953469975
0.125,2.0,13000,0.030782443918435872,24.597586528932396
0.125,2.0,14000,0.030250236801876246,23.81395334087567
0.125,2.0,15000,0.0335505524350324,23.4268761653827
0.125,2.0,16000,0.031463591165131914,23.77396273027643
0.125,2.0,17000,0.029946372903653675,24.17895412557226
0.125,2.0,18000,0.033224453862993004,23.788453151030186
0.125,2.0,19000,0.034879277354894204,23.814643883590843
0.125,2.0,20000,0.032332706642848145,24.31973261656065
0.125,2.0,21000,0.03380691571566637,24.483758036237152
0.125,2.0,22000,0.028498227168097873,25.025781421002534
0.125,2.0,23000,0.03422043539372364,23.541239958767083
0.125,2.0,24000,0.027833429150547248,24.644570175388292
0.125,2.0,25000,0.028130565123975534,24.48812479782854
0.125,2.0,26000,0.030173200819732723,24.344836743025063
0.125,2.0,27000,0.03140446711053145,23.317391937994213
0.125,2.0,28000,0.03285964020708991,24.463288083493033
0.125,2.0,29000,0.03233633578370915,24.355019650090117
0.125,2.0,30000,0.031192545931471805,24.2206794268677
0.125,2.0,31000,0.028575688695754997,24.188774579437418
0.125,2.0,32000,0.03666326753032887,24.240865408830857
0.125,2.0,33000,0.031147516886893437,24.452968011702552
0.125,2.0,34000,0.035086304323557256,23.70201636394594
0.125,2.0,35000,0.029230980209939878,24.314433509199215
0.125,2.0,36000,0.029578308321589565,24.262449293515438
0.125,2.0,37000,0.027285416911893196,24.044548126360834
0.125,2.0,38000,0.027837126962031555,24.231584362023124
0.125,2.0,39000,0.033777264003863966,24.06149371663778
0.125,2.0,40000,0.03084249874685917,23.521283328950144
0.125,2.0,41000,0.03237952570829695,23.757769460835217
0.125,2.0,42000,0.028966648273271355,24.318659064398414
0.125,2.0,43000,0.028096667677976566,24.144823537474
0.125,2.0,44000,0.03057347939801504,23.907975537261958
0.125,2.0,45000,0.033441473708896045,24.01523110207328
0.125,2.0,46000,0.031397510501228784,24.217032100487195
0.125,2.0,47000,0.03261685893782817,24.346508027215666
0.125,2.0,48000,0.029474977162693344,24.43774464966236
0.125,2.0,49000,0.029437480307572088,24.608817255240062
0.125,3.0,1000,0.06472567427459937,19.125005366143448
0.125,3.0,2000,0.0685475260104,18.118973079182382
0.125,3.0,3000,0.05656074015915632,20.10198152224492
0.125,3.0,4000,0.06493839044985623,18.730149777544863
0.125,3.0,5000,0.06042188241153987,18.160116034924677
0.125,3.0,6000,0.060660330298036025,18.88209882411816
0.125,3.0,7000,0.0692730049998446,17.6712993107044
0.125,3.0,8000,0.06221213862947761,19.590552297260356
0.125,3.0,9000,0.06832162043220565,18.57196331246783
0.125,3.0,10000,0.06681934651302915,18.841946097972325
0.125,3.0,11000,0.07049576689584984,19.307600472161635
0.125,3.0,12000,0.07800534026790382,18.524038987435407
0.125,3.0,13000,0.06143534623666361,19.49664747842429
0.125,3.0,14000,0.07582045018321694,18.657185370343043
0.125,3.0,15000,0.0705906659327993,17.471180396229897
0.125,3.0,16000,0.06856758865516206,17.584965713210476
0.125,3.0,17000,0.059035927541543194,18.60014062112806
0.125,3.0,18000,0.05969476008461934,19.45349054779678
0.125,3.0,19000,0.06028955915222465,18.023111627563
0.125,3.0,20000,0.06255831833524529,19.73902302302409
0.125,3.0,21000,0.06930040767371674,19.14093699657804
0.125,3.0,22000,0.06393167824083333,19.818248463062872
0.125,3.0,23000,0.06483442504300191,18.859165110054974
0.125,3.0,24000,0.053703738273026574,18.856288789975196
0.125,3.0,25000,0.06663520616561872,18.320623484367452
0.125,3.0,26000,0.06448368500352591,19.512657074667842
0.125,3.0,27000,0.06546188397276557,19.089851111041195
0.125,3.0,28000,0.06160053211815533,19.03964936326197
0.125,3.0,29000,0.06354542408060303,20.008485552912205
0.125,3.0,30000,0.07253708491103672,19.39046868044866
0.125,3.0,31000,0.06915200633420908,18.69936578158325
0.125,3.0,32000,0.06613463459006075,19.667109294868368
0.125,3.0,33000,0.06561034199572928,19.53827787093987
0.125,3.0,34000,0.06697660220023943,18.955132590797124
0.125,3.0,35000,0.07297223028689075,19.964615780025362
0.125,3.0,36000,0.05785626572087705,19.08772844490333
0.125,3.0,37000,0.06228941307754388,17.317785681189076
0.125,3.0,38000,0.06363178563219209,19.994787188564235
