ETA,SIGMA,N,esp_neuronal
0.125,1.0,100,0.07422059179408931,72.1146364558636
0.125,1.0,200,0.03640232568516901,53.83588729512805
0.125,1.0,300,0.028121748622992673,41.286856188275415
0.125,1.0,400,0.021522192083389367,38.17966416494039
0.125,1.0,500,0.020951773184749892,35.36076140503219
0.125,1.0,600,0.016792164212491602,35.75099155193704
0.125,1.0,700,0.014669713637072796,34.22978529797684
0.125,1.0,800,0.014449647478421656,31.57347762752645
0.125,1.0,900,0.01142250078919338,31.717278863215167
0.125,2.0,100,0.027519551340073476,26.807917633250906
0.125,2.0,200,0.03533953333016903,25.588691133096404
0.125,2.0,300,0.042308178137535964,24.91761222728475
0.125,2.0,400,0.03296569824684862,25.942046298422852
0.125,2.0,500,0.05147104003933883,22.703281667078375
0.125,2.0,600,0.03486001291033323,25.477836141046787
0.125,2.0,700,0.034877402883499574,25.63415630134452
0.125,2.0,800,0.04548961649105548,24.277802776357664
0.125,2.0,900,0.03920132884485654,24.93720882707152
0.125,3.0,100,0.07246178132376443,21.79967744719425
0.125,3.0,200,0.06133970349879891,22.238937171971056
0.125,3.0,300,0.07762442475776887,21.005831062000023
0.125,3.0,400,0.12292282945115453,18.248126285049423
0.125,3.0,500,0.09252283975800683,19.751531404058117
0.125,3.0,600,0.0957374285742498,19.024130908097078
0.125,3.0,700,0.06061392339928081,22.276660440051835
0.125,3.0,800,0.09522843407398444,19.49721538313009
0.125,3.0,900,0.0647745895343949,21.83501120993608
0.125,4.0,100,0.10364570024960759,18.67403175761632
0.125,4.0,200,0.16474045014226546,15.172885997912333
0.125,4.0,300,0.15128526450630045,15.730462355928667
0.125,4.0,400,0.1271705557961894,17.772455994553862
0.125,4.0,500,0.15418362620637757,15.454637719043447
0.125,4.0,600,0.15274189216487746,16.035736428895547
0.125,4.0,700,0.15776271697078148,16.218499588526395
0.125,4.0,800,0.14029116744286269,17.799425707158782
0.125,4.0,900,0.1104319636928995,18.714054606450645
0.25,1.0,100,0.03233584807853569,26.710156523496487
0.25,1.0,200,0.0171454091665758,30.745695596635937
0.25,1.0,300,0.014850241036871076,30.92523286476161
0.25,1.0,400,0.012495053917015912,31.643250442635605
0.25,1.0,500,0.013021238703049755,31.48619857797559
0.25,1.0,600,0.011780339885333842,31.55726355011713
0.25,1.0,700,0.011225519460714772,31.983736740406798
0.25,1.0,800,0.01294271749515659,31.362567724400666
0.25,1.0,900,0.012787001037500436,31.755738677728804
0.25,2.0,100,0.049514821324309066,24.263748048523027
0.25,2.0,200,0.032724643886886874,26.152794838605512
0.25,2.0,300,0.030222947038528052,26.73044822212025
0.25,2.0,400,0.036379567752903505,25.40362059700065
0.25,2.0,500,0.04194325185771867,25.213766799637536
0.25,2.0,600,0.036910387312322546,25.981904163905437
0.25,2.0,700,0.05129728708892566,24.16935260312842
0.25,2.0,800,0.03505573630757716,25.313180174203815
0.25,2.0,900,0.04201387754748315,25.382136262052267
0.25,3.0,100,0.06565064796096748,22.681580164257205
0.25,3.0,200,0.08788083895633633,20.331961798656863
0.25,3.0,300,0.10189563921528869,19.234779438034575
0.25,3.0,400,0.07702177130033891,21.88112611840152
0.25,3.0,500,0.09182916870077881,19.210168884780654
0.25,3.0,600,0.053391355672452324,23.734804930780868
0.25,3.0,700,0.10547854552583519,19.990207668803375
0.25,3.0,800,0.08276577297618376,21.058347315144577
0.25,3.0,900,0.12167200793583338,18.68194646566346
0.25,4.0,100,0.23100447283796682,14.319873585054976
0.25,4.0,200,0.21526743235199428,13.399430978799135
0.25,4.0,300,0.12877247033828446,18.31902868307553
0.25,4.0,400,0.13150024513269967,17.649876150510586
0.25,4.0,500,0.18096152670022952,16.48622735252866
0.25,4.0,600,0.18017533896813728,14.309253329864271
0.25,4.0,700,0.1227781122226101,18.236429872256764
0.25,4.0,800,0.1577460323248478,16.553055120384162
0.25,4.0,900,0.1682676888945977,14.870705975905647
0.5,1.0,100,0.02263183871267124,29.372210087319374
0.5,1.0,200,0.015168912673139573,31.927963348546758
0.5,1.0,300,0.012769031971947445,32.09940779131414
0.5,1.0,400,0.013062618653343934,31.95731050684463
0.5,1.0,500,0.013334391698111169,32.223461531641746
0.5,1.0,600,0.01310507577209947,31.81023749128834
0.5,1.0,700,0.011422865219171878,32.50790643605814
0.5,1.0,800,0.012305582996009475,32.49077849754492
0.5,1.0,900,0.013618325277238653,32.21133937885854
0.5,2.0,100,0.03012843439532815,27.960229507390036
0.5,2.0,200,0.051292801634363,25.70008472639184
0.5,2.0,300,0.032116840663776555,27.79996864225958
0.5,2.0,400,0.04683144566372713,24.189056762669082
0.5,2.0,500,0.04737750005876811,25.0272571931534
0.5,2.0,600,0.06402506766893988,22.82539718212277
0.5,2.0,700,0.031032022259504907,27.289807760711007
0.5,2.0,800,0.04956090656895231,25.655448344013006
0.5,2.0,900,0.05560691373735956,24.39356004461489
0.5,3.0,100,0.08662014052279988,22.87049485994459
0.5,3.0,200,0.04849505443463821,25.15145937700049
0.5,3.0,300,0.15564266107628869,17.400936890651728
0.5,3.0,400,0.11336316614460008,18.731906052545952
0.5,3.0,500,0.12446436639807104,20.987972073527864
